dataset,id_graph,|E_L_2|,EL2_stima,n**4
enzymes,0,1909609,22522752.0,1874161
enzymes,1,377004,4910688.0,279841
enzymes,2,226368,3047040.0,390625
enzymes,3,207736,2802600.0,331776
enzymes,4,225938,3045600.0,279841
enzymes,5,236127,3165536.0,331776
enzymes,6,617312,7769592.0,456976
enzymes,7,5717003,68067272.0,59969536
enzymes,8,117385,1654848.0,279841
enzymes,9,303791,4044960.0,1048576
enzymes,10,105,5184.0,256
enzymes,11,46902,740096.0,38416
enzymes,12,997633,12420000.0,3111696
enzymes,13,914032,11425376.0,2825761
enzymes,14,604967,7700480.0,1679616
enzymes,15,2473457,29431352.0,9150625
enzymes,16,2928895,33789600.0,2560000
enzymes,17,2587459,30010344.0,2085136
enzymes,18,0,8.0,16
enzymes,19,954959,11760000.0,1500625
enzymes,20,2240421,26308800.0,3111696
enzymes,21,2272805,26632800.0,2825761
enzymes,22,1537979,18423288.0,2313441
enzymes,23,2433930,28439040.0,3111696
enzymes,24,2059752,24285184.0,2825761
enzymes,25,1842322,21848400.0,2560000
enzymes,26,1820999,21548792.0,1874161
enzymes,27,314104,4129720.0,279841
enzymes,28,274055,3640432.0,234256
enzymes,29,748879,9339264.0,1336336
enzymes,30,1591701,19000656.0,2085136
enzymes,31,1424616,17125304.0,2085136
enzymes,32,1627418,19418912.0,2313441
enzymes,33,3576,79968.0,4096
enzymes,34,199940,2710400.0,279841
enzymes,35,1482939,17898408.0,3111696
enzymes,36,1385295,16793600.0,3111696
enzymes,37,884,40960.0,100000000
enzymes,38,174966,2396304.0,331776
enzymes,39,336989,4420000.0,331776
enzymes,40,2499439,29385400.0,4879681
enzymes,41,2857301,33194952.0,4100625
enzymes,42,2607445,30468400.0,4100625
enzymes,43,2607445,30468400.0,4100625
enzymes,44,2790629,32517504.0,4477456
enzymes,45,2677676,31190400.0,3748096
enzymes,46,277939,3703824.0,810000
enzymes,47,419004,5432328.0,1048576
enzymes,48,674282,8454144.0,1185921
enzymes,49,4437,91800.0,6561
enzymes,50,233962,3145616.0,531441
enzymes,51,1920464,22715400.0,2313441
enzymes,52,65016,984064.0,65536
enzymes,53,58852,884120.0,104976
enzymes,54,2001,51840.0,2401
enzymes,55,123509,1763272.0,104976
enzymes,56,9189,176256.0,10000
enzymes,57,378938,4980000.0,194481
enzymes,58,64703,958464.0,104976
enzymes,59,9189,176256.0,10000
enzymes,60,5853,118784.0,6561
enzymes,61,823302,10309600.0,2313441
enzymes,62,344245,4549600.0,1185921
enzymes,63,247493,3322984.0,707281
enzymes,64,111576,1581840.0,331776
enzymes,65,163475,2248384.0,390625
enzymes,66,360931,4712256.0,810000
enzymes,67,1128219,13770000.0,2085136
enzymes,68,425024,5469200.0,614656
enzymes,69,391382,5062176.0,614656
enzymes,70,2268628,26515456.0,2085136
enzymes,71,786261,9917600.0,2560000
enzymes,72,2028683,23918040.0,2560000
enzymes,73,2669423,31032032.0,3111696
enzymes,74,98789,1420416.0,160000
enzymes,75,92666,1342600.0,130321
enzymes,76,40927,633472.0,65536
